identifier,pop_IMD_1,pop_IMD_2,pop_IMD_3,pop_IMD_4,pop_IMD_5,pop_IMD_6,pop_IMD_7,pop_IMD_8,pop_IMD_9,pop_IMD_10,total_estimate_pop
0ad99827c9,79.96812463,0,485.773647,1600.780134,2926.036868,494.8218518,326.5375768,1491,0,1217.259705,8622.177907
0ae3867d1b,0,382.1615532,1755.891454,282.6759235,0,224.2788069,0,0,0,0,2645.007738
0ae40a1791,0,0,0,0,89.56760233,0,0,0,0,0,89.56760233
0af0bd5c01,0,0,0,0,0,0,2332.047922,0,2912.515535,0,5244.563457
0af6c264b7,0,0,0,0,0,0,353.3341014,0,0,0,353.3341014
0af78a8dd1,0,0,0,0,0,0,0,301.7535601,0,0,301.7535601
0afbd6129f,0,0,0,109.780418,0,0,0,0,0,0,109.780418
0b1616c9dd,0,0,0,1984.020903,3418.006296,0,0,0,0,0,5402.027199
0b18b64ea4,0,0,0,0,0,0,254.5440107,0,0,0,254.5440107
0b19ada322,0,0,0,0,0,0,0,1094.057208,0,0,1094.057208
0b33b08e8d,0,0,0,0,0.170982393,3140.172542,0,0,0,0,3140.343525
0b455b9bd8,0,0,0,0,0,16.97112032,0,0,0,0,16.97112032
0b466b1aeb,0,1909,1798,3373,0,0,0,4369,0,0,11449
0b46ecb07e,0,0,0,0,0.228207563,0,0,0,0,0,0.228207563
0b47487964,0,0,0,0,0,1048.709988,0,0,1265,0,2313.709988
0b48ac100a,0,0,0,0,0,530.5887032,0,0,0,0,530.5887032
0b4a1172c7,0,0,0,0,519.2406204,1.639054194,0,0,0,0,520.8796746
0b5529f458,0,0,0,0,0,0.056830718,0,0,184.7224116,0,184.7792424
0b5e4b10a0,0,0,0,0,0,8.553137536,0,0,0,0,8.553137536
0bbc5a2262,0,0,0,661.2332452,0,0,0,0,0,0,661.2332452
0bc1802723,0,0,0,0,0,276.7570777,0,0,0,0,276.7570777
0bda5d4a71,0,0,0,0,82.43996994,0,0,0,0,0,82.43996994
0bf404a0cd,0,0,1889,0,0,1499,0,3044,9415.370793,22736.65663,38584.02743
0bf40f9af2,0,0,0,0,278.0863231,0,0,0,0,0,278.0863231
0bfc7a6fd5,0,0,0,0,0,60.54875164,0,0,0,0,60.54875164
0c0347ab1a,0,0,0,42.65335464,0,0,0,0,0,0,42.65335464
0c0dfc6901,0,0,0,0,0,109.4947686,1491.608898,1831,0,4480,7912.103666
0c2761ff17,0,0,0,0,3.987072581,0,0,0,0,0,3.987072581
0c593450d6,0,0,0,0,0,0,2969.962516,0,16.03217196,0,2985.994688
0c615431b1,0,0,0,0,0,4.640672714,0,0,0,0,4.640672714
0c64fe5f19,0,0,0,0,0,0,0,1159,0,0,1159
0c6898f42c,0,601.468713,0,0,0,0,0,2076.083304,0,0,2677.552017
0c714e4413,0,0,0,0,0,0.05821742,1024.316886,0,0,0,1024.375104
0c767fcb8e,0,0,0,113.9307816,0,0,0,0,0,0,113.9307816
0c76f55c5e,0,0,0,0,0,1474.978635,0,0,0,0,1474.978635
0c7c4fa013,0,0,0,0,0,0,8.434055616,0,0,0,8.434055616
0c84f3750a,0,0,0,0,0,0,0,0,1389.519796,0,1389.519796
0c87306eec,0,0,0,0,0,0,18.61853812,0,0,0,18.61853812
0c9452005c,1579,1603,1930.954409,0,0,0,0,0,0,0,5112.954409
0c9c52915f,0,0,0,0,0,0,1.074489615,0,17.14121391,0,18.21570353
0c9d0cd2b6,0,0,0,0,0,4.511675516,0,0,0,0,4.511675516
0c9f1536f5,0,0,0,0,0,0,0,12.07757542,0,0,12.07757542
0cbd650444,0,0,0,0,0,25.87781943,0,0,0,0,25.87781943
0cd69936ba,0,0,0,0,5.222069994,0,0,0,0,0,5.222069994
0cdd07461b,0,0,0,0,0,283.5143533,0,0,0,0,283.5143533
0ce3b41f7e,0,0,0,0,0,0,0,109.7432769,0,0,109.7432769
0ce90041c6,0,0,0,0,0,0,0,1891.17889,0,2770,4661.17889
0d0380295e,0,0,0,0,0,11.71154523,2.38742789,347.9845635,1452,2043.42351,3857.507046
0d09ae579a,0,0,0,0,0,0,0,421.8547567,1810.097914,1574,3805.952671
0d0b41c504,0,0,0,1287.613094,0,0,0,0,0,0,1287.613094
0d19ce9d68,0,0,0,0,0,592.3952317,2355,0,5711,0,8658.395232
0d25518476,0,1540,0,1682,1562,1451.872551,0,526.5313935,2349.563163,0,9111.967107
0d257675de,0,0,0,1663.802066,3160.630598,4224.429597,2566,2551,0,0,14165.86226
0d26fea332,0,0,2658.172346,3069,0,2072,0,1042.383545,0,1814,10655.55589
0d276cc4b7,0,0,0,0,0,1586.389888,1587,597.3824158,1439,3126.853187,8336.625491
0d2d457ce0,21798,7167.56565,8070.619465,14302.25764,10917.91116,6796.059604,10701.18821,9842.049528,0,1422,91017.65125
0d3799cde0,0,0,0,0,2.57513033,0,0,0,0,0,2.57513033
0d3acc2d67,0,0,0,0,1134.682764,0,0,0,0,0,1134.682764
0d3b10e5eb,0,0,0,0,0,389.7741765,0,0,0,0,389.7741765
0d6181508a,0,0,0,0,0,2062.084127,0,0,12.36732237,0,2074.451449
0d7f439262,0,0,0,43.44207231,0,1067,0,0,0,0,1110.442072
0d8018afa8,150011.1597,55999.63335,56641.02658,19907.66786,13670.23551,15741.24026,12177.26137,11686.57295,12715,7101.323099,355651.1207
0d8b4c8cfd,0,0,0,0,0,0,196.430553,0,0,0,196.430553
0d8f692e2f,0,0,0,0,0,0,0,0,0,4.181757927,4.181757927
0d9d5d4d02,0,0,0,0,0,0,7.248193575,0,0,0,7.248193575
0db7fe0b21,0,0,0,0,707.8868813,0,0,0,0,0,707.8868813
0dc1af61b5,0,0,0,0,0,0,0,213.4288625,0,0,213.4288625
0dc79630ec,0,0,0,4648,0,1331,0,10417.68162,13504.90932,9139,39040.59093
0dd19582cd,0,0,0,0,552.756842,111.7890909,0,0,0,0,664.5459329
0de7c65bea,0,0,0,0,109.4303119,23.50216089,1181,2894,0.000378114,1285.142264,5493.075115
0dee73cc9e,0,0,0,0,0,45.77079276,0,0,0,0,45.77079276
0df2f5b617,0,0,0,0,244.4491819,0,0,0,0,0,244.4491819
0dfd8fb255,0,0,0,0,0,0,0,0,0,676.8874284,676.8874284
0dff651b09,0,4.615425566,0,0,1373.441064,0,0,0,0,0,1378.056489
0e030cdde2,0,0,0,0,0,0,14.0409468,0,0,0,14.0409468
0e0c8d24b2,0,0,0,0,1352,0,2699,1637,0,0,5688
0e1d6f1bcf,0,0,0,0,0,0,0,590.5723629,0,0,590.5723629
0e251535a2,0,0,0,0,0,0,120.7613862,0,0,0,120.7613862
0e277a1d23,0,0,0,0,0,0,1089.995636,1445,0,0,2534.995636
0e283748f8,0,0,0,0,179.0225124,0,0,0,0,0,179.0225124
0e29b8ae68,0,0,0,0,0,0,94.33137808,1166.330901,0,0,1260.662279
0e2ab2731a,0,0,0,0,0,448.7713171,0,0,0,0,448.7713171
0e3bcfa7ab,0,0,0,0,0,0,0,0,1480.957976,2489.277518,3970.235494
0e4219820b,0,0,0,0,108.0649652,0,0,0,0,0,108.0649652
0e587365b9,0,0,0,0,0,0,355.7971086,0,0,770.0601782,1125.857287
0e9e470fc1,0,0,0,0,0,10.2819581,0,0,0,0,10.2819581
0eae66ec05,0,0,0,97.54683587,0,0,0,0,743.7519943,0,841.2988301
0eb6f52959,0,0,0,0,0,0,0,292.389561,0,0,292.389561
0eb8cf0963,0,0,0,0,134.1323807,0,0,0,0,0,134.1323807
0ecfffaaf2,0,0,0,0,0,3043.731688,1265,1490,0,0,5798.731688
0ed339a391,0,0,0,2358.687558,0,0,0,0,0,0,2358.687558
0ed6e48272,0,0,0,0,275.8448863,0,0,0,0,0,275.8448863
0ed796ec20,86.08588723,0.524183788,584.8731498,0,1533.780196,3509.309516,550.6806944,6977.246639,3566.497349,6922.616528,23731.61414
0ee515a437,0,0,0,38.98122082,0,0,0,0,0,0,38.98122082
0eea0e4017,0,0,0,0,0,0,638.5353536,0,20.27114068,0,658.8064943
0ef7ccf38e,0,0,0,0,1133.638823,916.2520014,0,0,0,0,2049.890824
0ef9d6e03b,0,0,0,0,510.7042806,0,0,0,0,0,510.7042806
0f1ab0612f,0,0,0,0,436.1810793,0,0,0,0,0,436.1810793
0f229d6980,0,0,0,0,0,34.33176907,0,0,0,0,34.33176907
0f3d7eecd4,0,0,0,320.2208726,0,0,0,0,0,0,320.2208726
0f40a1b01f,0,0,0,0,0,203.1917518,0,0,0,0,203.1917518
0f4d4e859b,0,0,0,0,0,0,0,0,3.489983121,0,3.489983121
0f5163b765,0,0,0,0,994.5129261,0,0,0,0,0,994.5129261
0f5561c4b9,0,0,1816.907126,0,4030.857604,0,36.1211288,1228,0,1527,8638.885859
0f56e7e031,0,0,0,59.91387897,0,0,0,0,0,0,59.91387897
0f5b02e9a4,0,0,7902,6592,4416,2261.8332,0,4512.035413,1077.435983,2350,29111.3046
0f5bdde5b0,0,0,0,272.2674255,0,0,0,0,0,0,272.2674255
0f957ca781,0,0,0,0,0,2184.156262,0,0,0,0,2184.156262
0f976fd9ca,0,0,0,0,0,32.50084398,0,0,0,0,32.50084398
0f97ab1502,0,0,0,0,630.5818441,2555,0,0,0,0,3185.581844
0f9d42ab76,0,0,0,0,0,0,112.2933455,0,0,0,112.2933455
0fa912ce3f,0,0,0,65.52237388,0,0,0,0,0,0,65.52237388
0fbf4f271c,0,0,0,0,0,0,368.5705554,0,4.198050527,0,372.7686059
0fc9131f37,0,0,0,0,0,0,112.6927436,0,0,0,112.6927436
0fcc695cd0,0,0,0,0,0,745.3415465,0,0,0,0,745.3415465
0fd15c681f,0,0,0,0,0,3.900485003,0,0,0,0,3.900485003
0fd4e666b4,0,0,0,0,0,2457.550332,0,0,0,0,2457.550332
