LSOA11CD,total_area,area_covered
E01028944,471915.9630756441,448041.32281921856
E01028945,381623.61909868795,376241.9214511153
E01028946,860228.2162731898,853262.5307099086
E01028947,1201866.1405527748,486087.6425338623
E01028948,1112803.958130418,864023.7701535695
E01028949,840963.6526035126,761085.8449624317
E01028950,47944045.355315976,492355.1310021719
E01028951,1444022.076280325,653271.2919280569
E01028952,485933.96820909897,390086.434607936
E01028953,486209.95627490745,486209.95627490757
E01028954,18453236.83464807,1086052.0516467316
E01028955,4671737.711221094,630283.0741060633
E01028956,675310.6960666232,672115.5994564156
E01028957,250573.071773969,250573.071773969
E01028958,2618185.4075454585,1061520.005230648
E01028959,65014016.58214048,1856809.3583436524
E01028960,69861388.36139782,103135.02726846148
E01028961,52441623.75661636,202694.0310590064
E01028962,364878.0050894548,279718.4184188268
E01028963,941824.1953447973,805705.5660175233
E01028964,959081.7219211947,649257.2323077774
E01028965,319366.68807558634,319004.24436048634
E01028966,772127.5687333025,356394.3091852207
E01028967,294592.4757032699,294592.4757032699
E01028968,655521.9354105481,380352.7787146015
E01028969,36004377.82547698,365469.9942385814
E01028970,24250260.731889263,542435.2526449353
E01028971,34594698.41851746,592170.8214307313
E01028972,942421.8827944398,634426.5706102198
E01028973,671514.4478586004,420885.58648026816
E01028974,906257.2862328159,906257.2862328155
E01028975,10245593.82553384,665792.7949242789
E01028976,31131813.6096597,461199.84887625993
E01028977,13982896.547360556,540006.025070671
E01028978,50696075.54126115,506412.8815242032
E01028979,27406657.304936953,732600.3500309134
E01028980,68299412.33915733,415625.20803732803
E01028981,483141.871472475,356239.41272492177
E01028982,281212.40032290504,281212.40032290504
E01028983,919414.8731100169,535405.0317815626
E01028984,455825.1550804482,455825.15508044825
E01028985,389825.98594232666,389825.9859423268
E01028986,1701811.0927137823,1056749.3484516174
E01028987,624284.6856244698,624284.6856244698
E01028988,326289.3611319615,326289.3611319615
E01028989,717214.3124839304,373796.5739940872
E01028990,53455807.23038467,353279.4163808626
E01028991,99907337.57588969,187115.41514822948
E01028992,2029741.0248565418,567042.2261146464
E01028993,66592430.95875468,88000.16233654348
E01028994,37008804.37332723,452694.7832297545
E01028995,11089953.747661203,401102.28867057624
E01028996,25382253.563675843,499601.80036250246
E01028997,11390304.5583688,1055105.4506661198
E01028998,19954691.265314776,1000062.8207070763
E01028999,25865379.17802317,311949.537399951
E01029000,26665904.358535863,147413.75436084173
E01029001,31168185.196994103,397235.8782221997
E01029002,328287.2983436451,275347.00520827627
E01029003,191609652.46471184,429457.1818490371
E01029004,62303048.686358385,15454.889161131792
E01029005,71522047.65087122,210889.7048527273
E01029006,419653.00537180976,372854.754751665
E01029007,275311.025973107,224452.39995263173
E01029009,524711.1402618296,299805.62919218367
E01029010,275813.7299994906,220623.3590363939
E01029011,529799.0670240568,498426.56110153126
E01029012,9078225.88634521,602084.9068705348
E01029013,30897282.1493896,500251.55905190436
E01029014,376028.3861743389,275843.6408122453
E01029015,83094191.95024249,87018.36238607435
E01029016,41309256.281602316,346712.2003045915
E01029018,31061758.131864686,4526478.221764516
E01029019,41656668.98941016,3207503.086059983
E01029020,21768212.250847254,1497665.0738680328
E01029021,25265891.007788505,1541115.6795084737
E01029022,17093211.204194207,836758.3156696287
E01029023,10423352.475327136,1264885.9877607543
E01029024,7058440.817706766,1094492.566252714
E01029025,933991.490759761,425753.4931231737
E01029026,4902187.146155135,419933.9382841302
E01029027,20285822.483784165,1944809.7079113538
E01029028,1366469.189756891,586679.8394419932
E01029029,458994.3483012093,458994.34830120933
E01029030,381805.7589473183,381805.7589473183
E01029031,590942.9368066594,590942.9368066593
E01029032,543304.1939867729,543304.193986773
E01029033,225261.8838150705,225261.88381507053
E01029034,467298.16840543377,467298.1684054339
E01029035,1084028.5332747505,978007.3088900009
E01029036,291130.8172092537,291130.8172092537
E01029037,569549.1092975446,569549.1092975445
E01029038,606661.893085684,536899.8512562073
E01029039,261632.31680142315,261632.31680142312
E01029040,702443.2166167848,702443.2166167846
E01029041,383453.8454396154,383453.8454396154
E01029042,181290.30465176137,181290.30465176137
E01029043,410314.0200549321,410314.0200549321
E01029044,657548.6477240858,657512.6202737232
E01029045,513263.5137078921,513263.51370789204
E01029046,262151.72116403567,262151.72116403567
E01029047,2794762.7135524238,1468512.9174896793
E01029050,2994973.0320184976,1136073.80914957
E01029051,1933412.7656273767,1260246.244381219
E01029052,24300897.39187231,3816107.747875594
E01029053,62087609.85969127,5678484.6036219215
E01029054,33497548.522271585,4057938.3689908595
E01029055,19181538.967277404,1221214.137948908
E01029056,57019386.37165931,4732423.479711814
E01029057,45528833.162420474,3012211.2373011187
E01029058,61819077.26686585,877569.6023548711
E01029059,40520031.67036737,977293.6943034842
E01029060,55749814.77703193,1724305.7992791776
E01029061,28781982.35979758,4786573.898725729
E01029062,260131.65090099993,260131.65090099993
E01029063,2694959.612971348,1282305.9393811242
E01029064,4168700.6684822347,1583886.628129175
E01029065,970209.3570903792,662949.001865513
E01029066,502316.3810962533,486332.00159187213
E01029067,642815.921715525,478773.68742328667
E01029068,15423372.805056036,1122782.159898633
E01029069,6771267.39234152,661173.783176638
E01029070,775273.5983627668,775273.5983627667
E01029071,2930831.4180269535,1017234.517622299
E01029072,1461608.0343291922,693352.11137566
E01029073,375923.40802687005,375923.40802687
E01029074,5245059.935167848,1279604.3802586815
E01029075,274716.3129513329,274716.31295133295
E01029076,584586.7334431328,536433.5018027939
E01029077,51912907.72606879,2155358.877328237
E01029078,1138292.7499117109,905610.0073339837
E01029079,357551.4043173163,357551.4043173165
E01029080,755969.7077035899,696330.9328702012
E01029081,728285.4981265585,649328.3614405724
E01029082,888439.6554057444,822761.6511870214
E01029083,1258824.5957127446,912869.9287299593
E01029084,338725.9624047259,338725.96240472596
E01029085,4734409.998057695,1782059.3205223593
E01029086,30228035.618091375,4184922.1516387197
E01029089,24363060.826129943,6621455.363232118
E01029090,8370625.034434165,4049906.2316120206
E01029091,234734.83388285708,234734.8338828571
E01029092,200621.4287353928,200621.4287353928
E01029093,205771.44933815388,205771.44933815382
E01029094,737378.9499353907,737378.9499353908
E01029095,338362.468414259,338362.468414259
E01029096,1122067.2490761592,1122067.2490761597
E01029097,196527.39666553232,196527.39666553232
