identifier,LSOA11CD,intersection_area
8c68e4e0b4,E01022595,718229.9603910075
8c68e4e0b4,E01022594,310389.77439446683
8c68e4e0b4,E01022596,126801.86911680075
8c68e4e0b4,E01022591,1576534.8374395734
8c68e4e0b4,E01022579,294856.268856827
8c68e4e0b4,E01022605,767696.0633452687
8c68e4e0b4,E01022604,352398.43262384454
48f933d3b0,E01022207,914860.1589595277
48f933d3b0,E01022175,754045.7923338098
43249efbe1,E01022216,237661.85656999267
5353ff23aa,E01028726,817673.3432297674
5353ff23aa,E01028739,721966.5089271166
5353ff23aa,E01028738,22576.642360283517
5353ff23aa,E01028750,42963.15592964144
5353ff23aa,E01028752,609861.4745523181
5353ff23aa,E01028751,89007.65432656395
5353ff23aa,E01028711,1183394.7788973988
5353ff23aa,E01028710,172811.3302772494
5353ff23aa,E01028708,122.95839968790042
932502eaae,E01016230,517.7239934522773
932502eaae,E01016640,854717.8377941153
932502eaae,E01016641,1026530.9778118937
932502eaae,E01016708,240124.68776894303
932502eaae,E01016637,597433.3200112364
932502eaae,E01016642,218195.8637511724
932502eaae,E01016643,312262.7937889494
932502eaae,E01016636,455537.369524277
932502eaae,E01016638,185999.69957914826
932502eaae,E01016639,386883.0965881342
932502eaae,E01016611,1450793.9810155851
932502eaae,E01016705,204142.9099621991
932502eaae,E01016610,814913.4006556734
932502eaae,E01016633,21449.839626053643
932502eaae,E01016612,868588.9599457623
932502eaae,E01016699,245.6876529742617
932502eaae,E01016634,1168.9031745601517
932502eaae,E01022859,39.64606656926938
9c4e87e8f1,E01016207,8712.347704652982
9c4e87e8f1,E01016221,2622.1416177325536
9c4e87e8f1,E01030810,9.538688795473833
9c4e87e8f1,E01016603,522262.2127430363
9c4e87e8f1,E01016604,1203968.313836304
9c4e87e8f1,E01016181,152559.70091618196
9c4e87e8f1,E01016607,1203617.4288728184
9c4e87e8f1,E01016606,619354.3204477938
9c4e87e8f1,E01030692,30203.076305527655
9c4e87e8f1,E01016609,417948.45623727515
9c4e87e8f1,E01016608,1009199.1610132309
9c4e87e8f1,E01016605,1022039.1923029725
9c4e87e8f1,E01016523,1767652.3666339924
9c4e87e8f1,E01016522,498549.765768667
9c4e87e8f1,E01016183,1187.2902440857852
9c4e87e8f1,E01016224,4547.369717823041
9c4e87e8f1,E01016226,188.71440000005637
9c4e87e8f1,E01016217,249854.1421814176
9c4e87e8f1,E01016200,193203.10284533564
9c4e87e8f1,E01016201,203294.06647597623
9c4e87e8f1,E01016232,32671.94472382514
9c4e87e8f1,E01016205,187527.43645255687
9c4e87e8f1,E01016203,265242.2995934748
9c4e87e8f1,E01016204,170506.28881590712
9c4e87e8f1,E01016202,178459.64085166424
9c4e87e8f1,E01016225,94.06276766608109
9c4e87e8f1,E01016223,77.24996348050507
9c4e87e8f1,E01016524,1253224.3492655887
9c4e87e8f1,E01016182,414.9631481966261
9c4e87e8f1,E01016252,25349.475717603244
86be6fe7c7,E01017720,114202.37999999727
1a928d5f47,E01022522,10676.00500000086
c2654ad68d,E01017750,147228.1008644931
b4caa41127,E01016705,5073.091115934565
b4caa41127,E01016699,956.7531154264052
b4caa41127,E01032763,893589.1821507823
b4caa41127,E01016696,212125.46883389726
b4caa41127,E01016673,391528.890627116
b4caa41127,E01016672,438310.13317030214
b4caa41127,E01016671,328761.19725211064
b4caa41127,E01016670,602565.3639368996
b4caa41127,E01016674,423050.75582131394
a80d760eb7,E01031887,563850.3130789837
ffe8483a02,E01030423,1253.503906434961
ffe8483a02,E01030426,251502.89107469292
ffe8483a02,E01030427,306309.30278403376
ffe8483a02,E01030429,326024.49132739066
ffe8483a02,E01030428,421853.1118011416
ffe8483a02,E01030471,165.34749918668854
ffe8483a02,E01030421,703452.2497434668
ffe8483a02,E01030425,125081.77484392129
ffe8483a02,E01030424,154746.80031639163
ffe8483a02,E01030433,270380.104754605
ffe8483a02,E01030431,406886.1442807449
ffe8483a02,E01030465,249705.30685791833
ffe8483a02,E01030432,258391.32834154487
ffe8483a02,E01030430,383189.30784032476
ffe8483a02,E01023139,2970.0288816479906
ffe8483a02,E01023114,1928.7085787557462
ffe8483a02,E01030785,202.8118160981137
1e449350b7,E01027304,145767.52346650642
01f3ee1ddc,E01031198,128518.32500000455
8cd0539b4e,E01017631,615331.9321132394
8cd0539b4e,E01017628,636737.8352632746
8cd0539b4e,E01017722,213279.3156216524
8cd0539b4e,E01017721,316640.7958217601
8cd0539b4e,E01017690,401304.9266701807
8cd0539b4e,E01017691,277277.8358686302
8cd0539b4e,E01017724,215309.39296984635
8cd0539b4e,E01017678,6139.079524227423
8cd0539b4e,E01017689,278881.9947258315
8cd0539b4e,E01017687,378064.3625047082
8cd0539b4e,E01017723,227667.31198017133
8cd0539b4e,E01017710,336007.08250655193
8cd0539b4e,E01017638,453907.185894744
8cd0539b4e,E01017636,320788.0286547121
8cd0539b4e,E01017709,300173.81348984205
8cd0539b4e,E01017692,248278.0286611973
8cd0539b4e,E01017655,304682.2501748148
8cd0539b4e,E01017635,306725.1865357789
8cd0539b4e,E01017688,205894.46422427235
8cd0539b4e,E01017711,438737.0235236776
8cd0539b4e,E01017639,523899.8828109456
8cd0539b4e,E01017637,567158.897836564
8cd0539b4e,E01017640,344985.91168537806
8cd0539b4e,E01017712,361561.0118459853
8cd0539b4e,E01017653,205941.6785537797
8cd0539b4e,E01032955,306296.6071002699
8cd0539b4e,E01017720,45831.61627658577
8cd0539b4e,E01017726,254320.19197502692
8cd0539b4e,E01017727,414034.0290801574
8cd0539b4e,E01017730,436916.3126672546
8cd0539b4e,E01017729,456310.866660622
8cd0539b4e,E01017728,516665.76746056677
8cd0539b4e,E01017627,534485.477094064
8cd0539b4e,E01017651,463587.17863877
8cd0539b4e,E01017630,538810.2522507199
8cd0539b4e,E01017629,489562.2341524944
8cd0539b4e,E01017632,788320.7661381529
8cd0539b4e,E01023424,387251.3802821817
8cd0539b4e,E01017652,242012.6211072893
8cd0539b4e,E01032962,227117.6632130206
8cd0539b4e,E01017654,214575.27194703545
8cd0539b4e,E01017634,287503.9601221882
8cd0539b4e,E01017700,437866.79613881256
8cd0539b4e,E01032957,232124.4414739733
8cd0539b4e,E01032961,258085.12625828682
8cd0539b4e,E01032956,252583.17020490352
8cd0539b4e,E01017698,434510.35883584095
8cd0539b4e,E01017699,411542.81402076466
8cd0539b4e,E01017666,311603.13082916883
8cd0539b4e,E01017665,744993.1444910667
8cd0539b4e,E01017662,304935.491547606
8cd0539b4e,E01017663,236900.9707778448
8cd0539b4e,E01017708,550668.4179864763
8cd0539b4e,E01017697,190901.72505094946
8cd0539b4e,E01017661,234368.18345018095
8cd0539b4e,E01017668,266775.05991579616
8cd0539b4e,E01017659,270616.43865537393
