"uwwState","rptMStateKey","uwwID","uwwCode","uwwName","BODIncoming","CODIncoming","NIncoming","PIncoming","BODDischarge","CODDischarge","NDischarge","PDischarge","QA flag","Remark"
106,"DE",195568,"DETP_HE066350160301","Lichtenfels / Goddelsheim",,,6.3007001877,1.5751999617,,,2.1421999931,0.34654000401,"",""
106,"DE",195569,"DETP_HE066350160302","Lichtenfels / Goddelsheim (Aarmühle)",,,11.838000298,2.0864999294,,,2.8273999691,0.5024600029,"",""
106,"DE",195565,"DETP_HE066350110701","Frankenberg (Eder) / Rengershausen",,,15.256999969,2.8975999355,,,8.4323997498,0.27634000778,"",""
106,"DE",195571,"DETP_HE066350180701","Twistetal / Twiste",,,22.780000687,3.8743000031,,,4.9704999924,1.9371000528,"",""
106,"DE",195573,"DETP_HE066350190801","Vöhl / Kirchlotheim",,,9.3411998749,1.2136000395,,,0.91940999031,0.33098998666,"",""
106,"DE",195574,"DETP_HE066350191402","Vöhl / Thalitter",,,90.63999939,12.331999779,,,18.497999191,2.4663999081,"",""
106,"DE",195575,"DETP_HE066350200601","Volkmarsen",,,57.665000916,16.413000107,,,11.329999924,1.6668000221,"",""
106,"DE",195576,"DETP_HE066350210602","Waldeck / Nieder-Werbe",,,0.94571000338,0.14391000569,,,0.24671000242,0.022615000606,"",""
106,"DE",195577,"DETP_HE066350210801","Waldeck / Ober-Werbe",,,6.4482002258,1.1090999842,,,3.611000061,0.23213000596,"",""
106,"DE",195578,"DETP_HE066350210901","Waldeck / Sachsenhausen",,,16.336999893,2.1177000999,,,2.4203000069,0.42355000973,"",""
106,"DE",195462,"DETP_HE066310110301","Grossenlüder / Kleinlüder",,,28.908000946,3.910200119,,,5.2449998856,2.1168999672,"",""
106,"DE",195570,"DETP_HE066350160801","Lichtenfels / Sachsenberg",,,3.6839001179,1.0835000277,,,1.2352000475,0.17336000502,"Y","for details on QA see  ""UWWTD_load data QAQC_summary table final"""
106,"DE",195626,"DETP_RP100524083","Hornbach",,,7.4400000572,1.5900000334,,,4.7300000191,1.0199999809,"",""
106,"DE",195607,"DETP_RP100289022","Schönenberg-Kübelberg",,,23.799999237,3.2000000477,,,4.4000000954,0.56999999285,"",""
106,"DE",195608,"DETP_RP100297011","Waldmohr",,,23,4.6100001335,,,2.9500000477,0.20000000298,"",""
106,"DE",195609,"DETP_RP100298143","Schwarzbachtal",,,19.700000763,7.6599998474,,,3.8399999142,1.4299999475,"",""
106,"DE",195610,"DETP_RP100299053","Wolfstein",,,8.1199998856,2.1099998951,,,0.91000002623,0.51999998093,"",""
106,"DE",195611,"DETP_RP100402057","Bann",,,10.300000191,1.3099999428,,,0.40999999642,0.49000000954,"Y","for details on QA see  ""UWWTD_load data QAQC_summary table final"""
106,"DE",195629,"DETP_RP100550092","Waldfischbach GKA",,,48.299999237,7.8000001907,,,8.4899997711,0.95999997854,"",""
106,"DE",195464,"DETP_HE066310120601","Hilders",,,23.291000366,7.9363999367,,,16.346000671,1.4881000519,"",""
106,"DE",195581,"DETP_HE066350211003","Waldeck",,,9.7545003891,1.3006000519,,,0.86707001925,0.26012000442,"",""
106,"DE",195880,"DETP_RP105210101","Bitburg (Ost)",,,52.700000763,9.8000001907,,,12.300000191,0.86000001431,"",""
106,"DE",195625,"DETP_RP100507084","Contwig",,,23.399999619,3.1900000572,,,1.0499999523,0.56000000238,"Y","for details on QA see  ""UWWTD_load data QAQC_summary table final"""
106,"DE",195624,"DETP_RP100502098","Bechhofen",,,8.8999996185,1.5099999905,,,2.3199999332,0.87999999523,"",""
106,"DE",195623,"DETP_RP100453004","Weilerbach",,,72.099998474,12.399999619,,,8.8299999237,1.1799999475,"",""
106,"DE",195612,"DETP_RP100403291","Miesau",,,43.400001526,8.1899995804,,,3.5399999619,1.0800000429,"",""
106,"DE",195621,"DETP_RP100448180","Obermohr",,,30.299999237,2.8699998856,,,5.6100001335,0.40000000596,"",""
106,"DE",195613,"DETP_RP100404757","Enkenbach-Alsenborn",,,65.5,10.199999809,,,7.6700000763,0.95999997854,"",""
106,"DE",195618,"DETP_RP100435094","Olsbrücken",,,10.199999809,2.2599999905,,,0.64999997616,0.20999999344,"",""
106,"DE",195620,"DETP_RP100440020","Ramstein",,,73.099998474,8.6999998093,,,15.800000191,0.5,"",""
106,"DE",195642,"DETP_RP101200094","Bad Kreuznach",,,214.3999939,28,,,32.799999237,1.8200000525,"",""
106,"DE",195649,"DETP_RP101202572","Meisenheim",,,33.13999939,5.3800001144,,,14.829999924,0.97000002861,"",""
106,"DE",195650,"DETP_RP101203816","Schlossböckelheim",,,16.200000763,1.8700000048,,,5.4400000572,0.50999999046,"",""
106,"DE",195651,"DETP_RP101203927","Booser Au Staudernheim",,,187,16.299999237,,,25.799999237,1.1900000572,"",""
106,"DE",195652,"DETP_RP101205525","Stromberg",,,31.899999619,5.8699998856,,,2.25,0.56000000238,"",""
106,"DE",195653,"DETP_RP101205636","Neu-Bamberg",,,17.799999237,2.7100000381,,,1.8200000525,0.15000000596,"Y","for details on QA see  ""UWWTD_load data QAQC_summary table final"""
106,"DE",195654,"DETP_RP101205747","Oberes Ellerbachtal Weinsheim",,,18.100000381,6.3299999237,,,2.0599999428,0.81999999285,"",""
106,"DE",195655,"DETP_RP101205960","Gutenberg Gräfenbachtal",,,26.200000763,9.7600002289,,,2.6700000763,0.18999999762,"",""
106,"DE",195606,"DETP_RP100279001","Niederstaufenbach",,,11.800000191,1.2100000381,,,6.4200000763,0.41999998689,"",""
106,"DE",195460,"DETP_HE066310091401","Fulda / Malkes",,,19.951999664,3.9339001179,,,3.8069999218,0.23648999631,"Y","for details on QA see  ""UWWTD_load data QAQC_summary table final"""
