"uwwState","rptMStateKey","uwwID","uwwCode","uwwName","uwwBODIncoming","uwwCODIncoming","uwwNIncoming","uwwPIncoming","uwwBODDischarge","uwwCODDischarge","uwwNDischarge","uwwPDischarge","QAflag","Remark"
106,"CZ",206644,"CZ2107-707635-00242888-4/1U","COV Novy Knin",13.8,29.7,3.7,0.5,0.1,1.6,0.7,0," "," "
106,"CZ",206645,"CZ2108-645371-46356975-4/1U","COV Horovice",114.8,350.4,39,5.9,5.6,39.2,18.9,2.4," "," "
106,"CZ",206646,"CZ2108-668648-46356975-4/1U","COV Komarov",21.4,60.2,11.2,1.3,0.8,5.6,4.6,0.5," "," "
106,"CZ",206647,"CZ2109-665177-46356991-4/1U","COV Kladno - Vrapice",1211,2366.4,288.3,31.5,20.6,137.4,66.9,3.5," "," "
106,"CZ",206648,"CZ2109-683582-00234630-4/1U","COV Libusin",33.7,71.8,10.8,1.1,0.4,3.9,1.5,0.1," "," "
106,"CZ",206649,"CZ2109-755567-46356991-4/1U","COV Stochov",94.6,193,34.1,4.1,1.1,10.2,4.7,0.8," "," "
106,"CZ",206650,"CZ2109-764558-00234516-4/1U","COV Kladno - Svermov",74.7,166.9,23.6,2.6,1.5,10.9,5.3,0.4," "," "
106,"CZ",206651,"CZ2109-774499-00235075-4/1U","COV Unhost",67.3,128.2,18.6,2,1.5,8.5,4.6,0.6," "," "
106,"CZ",206652,"CZ2109-774499-00235075-4/2U","COV Unhost - Ceperka",2.2,5,,,0.1,0.6,,," "," "
106,"CZ",206653,"CZ2110-668150-00235440-4/1U","COV Kolin",524.2,1290,142.2,16.7,12,81.3,44.4,1.3," "," "
106,"CZ",206654,"CZ2110-718823-00239607-4/1U","COV Pecky",140.2,183.3,24.7,3.8,1.1,9.1,5.3,0.4," "," "
106,"CZ",206655,"CZ2110-778036-00235865-4/1U","COV Velim",26.1,67.4,8.2,0.8,0.3,3,2,0.1," "," "
106,"CZ",206656,"CZ2111-672718-46356991-4/1U","COV Kralupy nad Vltavou",970.5,2454.3,175.5,21.1,30,275,46.4,2," "," "
106,"CZ",206657,"CZ2111-792799-00236977-4/1U","COV Kralupy nad Vltavou - Zemechy",6.4,13.9,2,0.2,0.8,2.4,1.1,0.1," "," "
106,"CZ",206658,"CZ2112-677710-46356967-4/1U","COV Kutna Hora",372.9,1020.4,108.2,13.1,14,102,37,2.3," "," "
106,"CZ",206659,"CZ2112-773212-46356967-4/1U","COV Uhlirske Janovice",35,84.8,9.4,1.4,1.1,8.6,5.9,0.8," "," "
106,"CZ",206660,"CZ2112-793655-46356967-4/1U","COV Zruc I",37.4,106.1,13.3,1.6,0.8,7.8,3,0.4," "," "
106,"CZ",206661,"CZ2112-793655-46356967-4/2U","COV Zruc II",2.3,4.6,0.6,0.1,0.1,0.4,0.3,0," "," "
