ReportNetEnvelopeFileId,flarepCode,soecCapacity,soecCode,soecEndYear,soecEUFunds,soecInvCol,soecInvIAS,soecInvTp,soecJobs,soecLenghtCoCs,soecLenghtSaCs,soecLenghtStCs,soecNumbIAS,soecOpCosts,soecPeriod,soecPop,soecStartYear,soecInvComments
48332,259,15402346,CZUWWINV2017,20171231,370,300,2,130,118001,50247,,,,16516,P,10626000,20170101,"Celková délka kanalizací v ČR je 50 247 km, dle údajů VÚME nelze přesně rodělit kolik je které, jelikož vlastníci vykazují celkovou délku majetku a v rámci jednoho majetku může být i kombinace jednotné kanalizace a oddílné kanalizace."
48332,259,15461192,CZUWWINV2018,20181231,,290,1.5,130,,,,,,,CU,,20180101,
48332,259,15467126,CZUWWINV2019,20191231,,290,1.5,130,,,,,,,EXP,,20190101,
48332,259,15469625,CZUWWINV2020,20201231,,280,1,130,,,,,,,EXP,,20200101,
48332,259,15471234,CZUWWINV2021,20211231,,280,1,130,,,,,,,EXP,,20210101,
48332,259,12473579,CZUWWINV2022,20221231,,280,1,130,,,,,,,EXP,,20220101,
48275,BE-2,4126010,BEUWWINV2020_W,20201231,,34,,75,,,,,,,CU,,20200101,"Walloon Region. Estimated investments costs: annual forecasts of investment expenses related to collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
48275,BE-2,4136807,BEUWWINV2021_W,20211231,,75,,107,,,,,,,EXP,,20210101,"Walloon Region. Estimated investments costs: annual forecasts of investment expenses related to collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
48275,BE-2,4147604,BEUWWINV2022_W,20221231,,54,,70,,,,,,,EXP,,20220101,"Walloon Region. Estimated investments costs: annual forecasts of investment expenses related to collecting system (column soecInvCol) and WWTP and main sewer (column soecInvTp).
Total investment costs: costs of works and costs related."
48275,BE-3,5450990,BEUWWINV2018-3,20181231,,133.57,,45.88,,,,,,,P,,20180101,"Flemish Region: actual investment cost under the Optimization program (OP) (sum of all final payments of OP-projects completed by Aquafin in 2018, commissioned by the Flemish Region,  reference date 12/2018) + estimated investment costs for Asset Management-projects in 2018 (reference date 12/2018, VAT not included)."
48275,BE-3,5457947,BEUWWINV2019-3,20191231,,139.85,,36.11,,,,,,,P,,20190101,"Flemish Region: actual investment cost under the Optimization program (OP) (sum of all final payments of OP-projects completed by Aquafin in 2019, commissioned by the Flemish Region,  reference date 12/2019) + estimated investment costs for Asset Management-projects in 2019 (reference date 12/2019, VAT not included)."
48275,BE-3,5505152,BEUWWINV2020-3,20201231,,171.04,,38.63,,,,,,,CU,,20200101,"Flemish Region: estimated investment cost  of Optimization program-projects and Asset Management projects, sum of all final payments of projects to be completed by Aquafin in 2020, commissioned by the Flemish Region, reference date 12/2020, VAT not included"
